City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,50.67,78,7,6.35,clear sky
244,Puerto Escondido,MX,15.85,-97.0667,85.03,61,75,8.05,broken clouds
245,Tsiroanomandidy,MG,-18.7667,46.0333,56.77,77,7,3.8,clear sky
246,Gnjilane,XK,42.4604,21.4699,61.12,92,100,1.74,overcast clouds
247,Sangar,RU,63.9242,127.4739,44.64,92,100,5.12,light rain
248,Ponta Delgada,PT,37.7333,-25.6667,65.12,82,20,2.3,few clouds
249,Morondava,MG,-20.2833,44.2833,71.26,54,6,14.12,clear sky
250,Killybegs,IE,54.6333,-8.45,49.44,81,100,5.48,light rain
251,Epe,NG,6.5841,3.9834,75.13,92,86,3.94,moderate rain
252,San Policarpo,PH,12.1791,125.5072,83.23,73,79,4.32,broken clouds
253,Onega,RU,63.9061,38.1404,44.28,56,39,8.88,scattered clouds
254,Altay,CN,47.8667,88.1167,64.54,25,0,3.44,clear sky
255,Ostersund,SE,63.1792,14.6357,54.61,100,90,6.91,overcast clouds
256,Taltal,CL,-25.4,-70.4833,61.0,75,0,4.23,clear sky
257,Oum Hadjer,TD,13.2954,19.6966,88.47,34,94,5.55,overcast clouds
258,Dana Point,US,33.467,-117.6981,76.53,72,49,4.0,scattered clouds
259,Changji,CN,44.0167,87.3167,66.99,39,0,4.43,clear sky
260,Krasne,UA,49.9145,24.6134,51.19,94,48,5.5,scattered clouds
261,Kununurra,AU,-15.7667,128.7333,78.78,25,7,6.91,clear sky
262,Batagay-Alyta,RU,67.8006,130.4114,51.01,47,100,11.3,overcast clouds
263,Clyde River,CA,70.4692,-68.5914,34.03,93,90,17.27,overcast clouds
264,Marzuq,YE,14.4,46.4667,78.82,39,49,5.23,scattered clouds
265,Saint-Pierre,RE,-21.3393,55.4781,71.28,86,75,24.16,light rain
266,Nemuro,JP,43.3236,145.575,68.43,83,39,3.2,scattered clouds
267,Krasnyy Chikoy,RU,50.3643,108.7512,36.23,100,100,2.62,heavy intensity rain
268,Quesnel,CA,52.9999,-122.5029,61.3,41,1,3.44,clear sky
269,Lata,PT,40.1629,-8.3327,59.81,94,4,1.45,clear sky
270,Portland,US,45.5234,-122.6762,61.63,73,90,1.99,overcast clouds
271,Joshimath,IN,30.5667,79.5667,71.82,52,18,0.76,few clouds
272,Husavik,IS,66.0449,-17.3389,48.11,73,38,6.67,scattered clouds
273,Samarai,PG,-10.6167,150.6667,77.36,91,100,15.32,overcast clouds
274,Rafai,CF,4.95,23.9167,67.48,99,100,1.21,overcast clouds
275,Jardim,BR,-21.4803,-56.1381,76.48,46,86,1.34,overcast clouds
276,Landau,DE,49.2075,8.1133,62.55,83,100,4.12,overcast clouds
277,Raton,US,36.9034,-104.4391,68.05,51,90,4.0,overcast clouds
278,Porto Santo,PT,33.072,-16.3415,66.11,72,40,8.05,scattered clouds
279,Chicama,PE,-7.8447,-79.1469,64.94,85,97,5.73,overcast clouds
280,Dwarka,IN,22.2394,68.9678,85.24,66,28,12.48,scattered clouds
281,Katsuura,JP,35.1333,140.3,73.51,82,97,1.74,overcast clouds
282,Doha,QA,25.2867,51.5333,91.38,63,0,6.91,clear sky
283,Brodokalmak,RU,55.5748,62.082,56.3,65,6,7.34,clear sky
284,Klaksvik,FO,62.2266,-6.589,49.12,96,100,5.64,overcast clouds
285,Khandyga,RU,62.6667,135.6,74.1,48,100,10.51,overcast clouds
286,Grindavik,IS,63.8424,-22.4338,46.87,93,75,8.79,light intensity drizzle
287,Oranjemund,NA,-28.55,16.4333,65.71,34,0,20.58,clear sky
288,Kikwit,CD,-5.041,18.8162,67.96,93,8,1.99,clear sky
289,Bonthe,SL,7.5264,-12.505,78.76,89,100,6.44,light rain
290,Bulgan,MN,48.8125,103.5347,37.87,97,100,7.43,moderate rain
291,Ratnagiri,IN,16.9833,73.3,83.05,74,100,4.9,overcast clouds
292,Rehburg-Loccum,DE,52.4667,9.2,60.37,88,60,4.38,broken clouds
293,Khovu-Aksy,RU,51.1333,93.6,49.06,63,17,2.62,few clouds
294,Tankhoy,RU,51.5528,105.1306,45.39,94,100,7.54,overcast clouds
295,Markova,UA,48.6758,24.4138,50.7,92,8,5.17,clear sky
296,Inta,RU,66.0317,60.1659,38.3,66,100,11.14,overcast clouds
297,Buraydah,SA,26.326,43.975,86.45,12,48,10.16,scattered clouds
298,Golaghat,IN,26.5167,93.9667,74.03,96,100,3.0,overcast clouds
299,Kuito,AO,-12.3833,16.9333,49.48,61,3,3.85,clear sky
